,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated
0,2015-05-24,0.000100,0.000100,0.000100,0.000100,0,reg,False
1,2015-05-25,0.000100,0.000100,0.000100,0.000100,0,reg,False
2,2015-05-26,0.000100,0.000200,0.000200,0.000100,0,reg,False
3,2015-05-27,0.000200,0.000200,0.000200,0.000200,0,reg,False
4,2015-05-28,0.000200,0.000200,0.000200,0.000200,0,reg,False
5,2015-05-29,0.000200,0.000200,0.000200,0.000200,0,reg,False
6,2015-05-30,0.000200,0.000200,0.000200,0.000200,0,reg,False
7,2015-05-31,0.000200,0.000200,0.000200,0.000200,0,reg,False
8,2015-06-01,0.000200,0.000100,0.000200,0.000100,0,reg,False
9,2015-06-02,0.000100,0.000200,0.000200,0.000100,0,reg,False
10,2015-06-03,0.000200,0.000200,0.000200,0.000100,0,reg,False
11,2015-06-04,0.000200,0.000200,0.000200,0.000100,0,reg,False
12,2015-06-05,0.000200,0.000200,0.000200,0.000100,0,reg,False
13,2015-06-06,0.000200,0.000200,0.000200,0.000200,0,reg,False
14,2015-06-07,0.000200,0.000200,0.000200,0.000200,0,reg,False
15,2015-06-08,0.000200,0.000200,0.000200,0.000100,0,reg,False
16,2015-06-09,0.000200,0.000200,0.000200,0.000200,0,reg,False
17,2015-06-10,0.000200,0.000200,0.000200,0.000200,0,reg,False
18,2015-06-11,0.000200,0.000200,0.000200,0.000200,0,reg,False
19,2015-06-12,0.000200,0.000200,0.000200,0.000200,0,reg,False
20,2015-06-13,0.000200,0.000200,0.000200,0.000200,0,reg,False
21,2015-06-14,0.000200,0.000200,0.000200,0.000200,0,reg,False
22,2015-06-15,0.000200,0.000200,0.000200,0.000200,0,reg,False
23,2015-06-16,0.000200,0.000200,0.000200,0.000200,0,reg,False
24,2015-06-17,0.000200,0.000200,0.000200,0.000200,0,reg,False
25,2015-06-18,0.000200,0.000200,0.000200,0.000200,0,reg,False
26,2015-06-19,0.000200,0.000200,0.000200,0.000200,0,reg,False
27,2015-06-20,0.000200,0.000200,0.000200,0.000200,0,reg,False
28,2015-06-21,0.000200,0.000200,0.000200,0.000200,0,reg,False
29,2015-06-22,0.000200,0.000200,0.000200,0.000200,0,reg,False
30,2015-06-23,0.000200,0.000200,0.000200,0.000200,0,reg,False
31,2015-06-24,0.000200,0.000200,0.000200,0.000200,0,reg,False
32,2015-06-25,0.000200,0.000200,0.000200,0.000200,0,reg,False
33,2015-06-26,0.000200,0.000200,0.000200,0.000200,0,reg,False
34,2015-06-27,0.000200,0.000200,0.000200,0.000200,0,reg,False
35,2015-06-28,0.000200,0.000200,0.000200,0.000200,0,reg,False
36,2015-06-29,0.000200,0.000200,0.000200,0.000200,0,reg,False
37,2015-06-30,0.000200,0.000200,0.000200,0.000200,0,reg,False
38,2015-07-01,0.000200,0.000200,0.000200,0.000200,0,reg,False
39,2015-07-02,0.000200,0.000200,0.000200,0.000200,0,reg,False
40,2015-07-03,0.000200,0.000200,0.000200,0.000200,0,reg,False
41,2015-07-04,0.000200,0.000200,0.000200,0.000200,0,reg,False
42,2015-07-05,0.000200,0.000200,0.000200,0.000200,0,reg,False
43,2015-07-06,0.000200,0.000200,0.000200,0.000200,0,reg,False
44,2015-07-07,0.000200,0.000200,0.000200,0.000200,0,reg,False
45,2015-07-08,0.000200,0.000200,0.000200,0.000200,0,reg,False
46,2015-07-09,0.000200,0.000200,0.000200,0.000200,0,reg,False
47,2015-07-10,0.000200,0.000200,0.000200,0.000200,0,reg,False
48,2015-07-11,0.000200,0.000200,0.000200,0.000200,0,reg,False
49,2015-07-12,0.000200,0.000200,0.000200,0.000200,0,reg,False
50,2015-07-13,0.000200,0.000200,0.000200,0.000200,0,reg,False
51,2015-07-14,0.000200,0.000200,0.000200,0.000200,0,reg,False
52,2015-07-15,0.000200,0.000200,0.000200,0.000200,0,reg,False
53,2015-07-16,0.000200,0.000200,0.000200,0.000200,0,reg,False
54,2015-07-17,0.000200,0.000200,0.000200,0.000200,0,reg,False
55,2015-07-18,0.000200,0.000200,0.000200,0.000200,0,reg,False
56,2015-07-19,0.000200,0.000200,0.000200,0.000200,0,reg,False
57,2015-07-20,0.000200,0.000200,0.000200,0.000200,0,reg,False
58,2015-07-21,0.000200,0.000200,0.000200,0.000200,0,reg,False
59,2015-07-22,0.000200,0.000200,0.000200,0.000200,0,reg,False
60,2015-07-23,0.000200,0.000200,0.000200,0.000200,0,reg,False
61,2015-07-24,0.000200,0.000200,0.000200,0.000200,0,reg,False
62,2015-07-25,0.000200,0.000200,0.000200,0.000200,0,reg,False
63,2015-07-26,0.000200,0.000200,0.000200,0.000200,0,reg,False
64,2015-07-27,0.000200,0.000200,0.000200,0.000200,0,reg,False
65,2015-07-28,0.000200,0.000200,0.000200,0.000200,0,reg,False
66,2015-07-29,0.000200,0.000200,0.000200,0.000200,0,reg,False
67,2015-07-30,0.000200,0.000200,0.000200,0.000200,0,reg,False
68,2015-07-31,0.000200,0.000200,0.000200,0.000200,0,reg,False
69,2015-08-01,0.000200,0.000200,0.000200,0.000200,0,reg,False
70,2015-08-02,0.000200,0.000200,0.000200,0.000200,0,reg,False
71,2015-08-03,0.000200,0.000200,0.000200,0.000200,0,reg,False
72,2015-08-04,0.000200,0.000200,0.000200,0.000200,0,reg,False
73,2015-08-05,0.000200,0.000200,0.000200,0.000200,0,reg,False
74,2015-08-06,0.000200,0.000200,0.000200,0.000200,0,reg,False
75,2015-08-07,0.000200,0.000200,0.000200,0.000200,0,reg,False
76,2015-08-08,0.000200,0.000200,0.000200,0.000200,0,reg,False
77,2015-08-09,0.000200,0.000200,0.000200,0.000200,0,reg,False
78,2015-08-10,0.000200,0.000200,0.000200,0.000200,0,reg,False
79,2015-08-11,0.000200,0.000200,0.000200,0.000200,0,reg,False
80,2015-08-12,0.000200,0.000200,0.000200,0.000200,0,reg,False
81,2015-08-13,0.000200,0.000200,0.000200,0.000200,0,reg,False
82,2015-08-14,0.000200,0.000200,0.000200,0.000200,0,reg,False
83,2015-08-15,0.000200,0.000200,0.000200,0.000200,0,reg,False
84,2015-08-16,0.000200,0.000100,0.000200,0.000100,0,reg,False
85,2015-08-17,0.000100,0.000100,0.000200,0.000100,0,reg,False
86,2015-08-18,0.000100,0.000100,0.000100,0.000100,0,reg,False
87,2015-08-19,0.000100,0.000100,0.000100,0.000100,0,reg,False
88,2015-08-20,0.000100,0.000100,0.000100,0.000100,0,reg,False
89,2015-08-21,0.000100,0.000100,0.000100,0.000100,0,reg,False
90,2015-08-22,0.000100,0.000100,0.000100,0.000100,0,reg,False
91,2015-08-23,0.000100,0.000100,0.000100,0.000100,0,reg,False
92,2015-08-24,0.000100,0.000100,0.000100,0.000100,0,reg,False
93,2015-08-25,0.000100,0.000100,0.000100,0.000100,0,reg,False
94,2015-08-26,0.000100,0.000100,0.000100,0.000100,0,reg,False
95,2015-08-27,0.000100,0.000100,0.000100,0.000100,0,reg,False
96,2015-08-28,0.000100,0.000100,0.000100,0.000100,0,reg,False
97,2015-08-29,0.000100,0.000100,0.000100,0.000100,0,reg,False
98,2015-08-30,0.000100,0.000100,0.000100,0.000100,0,reg,False
99,2015-08-31,0.000100,0.000100,0.000100,0.000100,0,reg,False
100,2015-09-01,0.000100,0.000100,0.000100,0.000100,0,reg,False
101,2015-09-02,0.000100,0.000100,0.000100,0.000100,0,reg,False
102,2015-09-03,0.000100,0.000100,0.000100,0.000100,0,reg,False
103,2015-09-04,0.000100,0.000100,0.000100,0.000100,0,reg,False
104,2015-09-05,0.000100,0.000100,0.000100,0.000100,0,reg,False
105,2015-09-06,0.000100,0.000100,0.000100,0.000100,0,reg,False
106,2015-09-07,0.000100,0.000100,0.000100,0.000100,0,reg,False
107,2015-09-08,0.000100,0.000100,0.000100,0.000100,0,reg,False
108,2015-09-09,0.000100,0.000100,0.000100,0.000100,0,reg,False
109,2015-09-10,0.000100,0.000100,0.000100,0.000100,0,reg,False
110,2015-09-11,0.000100,0.000100,0.000100,0.000100,0,reg,False
111,2015-09-12,0.000100,0.000100,0.000100,0.000100,0,reg,False
112,2015-09-13,0.000100,0.000100,0.000100,0.000100,0,reg,False
113,2015-09-14,0.000100,0.000100,0.000100,0.000100,0,reg,False
114,2015-09-15,0.000100,0.000100,0.000100,0.000100,0,reg,False
115,2015-09-16,0.000100,0.000100,0.000100,0.000100,0,reg,False
116,2015-09-17,0.000100,0.000100,0.000100,0.000100,0,reg,False
117,2015-09-18,0.000100,0.000100,0.000100,0.000100,0,reg,False
118,2015-09-19,0.000100,0.000100,0.000100,0.000100,0,reg,False
119,2015-09-20,0.000100,0.000100,0.000100,0.000100,0,reg,False
120,2015-09-21,0.000100,0.000100,0.000100,0.000100,0,reg,False
121,2015-09-22,0.000100,0.000100,0.000100,0.000100,0,reg,False
122,2015-09-23,0.000100,0.000100,0.000100,0.000100,0,reg,False
123,2015-09-24,0.000100,0.000100,0.000100,0.000100,0,reg,False
124,2015-09-25,0.000100,0.000100,0.000100,0.000100,0,reg,False
125,2015-09-26,0.000100,0.000100,0.000100,0.000100,0,reg,False
126,2015-09-27,0.000100,0.000100,0.000100,0.000100,0,reg,False
127,2015-09-28,0.000100,0.000100,0.000100,0.000100,0,reg,False
128,2015-09-29,0.000100,0.000100,0.000100,0.000100,0,reg,False
129,2015-09-30,0.000100,0.000100,0.000100,0.000100,0,reg,False
130,2015-10-01,0.000100,0.000100,0.000100,0.000100,0,reg,False
131,2015-10-02,0.000100,0.000100,0.000100,0.000100,0,reg,False
132,2015-10-03,0.000100,0.000100,0.000100,0.000100,0,reg,False
133,2015-10-04,0.000100,0.000100,0.000100,0.000100,0,reg,False
134,2015-10-05,0.000100,0.000100,0.000100,0.000100,0,reg,False
135,2015-10-06,0.000100,0.000100,0.000100,0.000100,0,reg,False
136,2015-10-07,0.000100,0.000100,0.000100,0.000100,0,reg,False
137,2015-10-08,0.000100,0.000100,0.000100,0.000100,0,reg,False
138,2015-10-09,0.000100,0.000100,0.000100,0.000100,0,reg,False
139,2015-10-10,0.000100,0.000100,0.000100,0.000100,0,reg,False
140,2015-10-11,0.000100,0.000100,0.000100,0.000100,0,reg,False
141,2015-10-12,0.000100,0.000100,0.000100,0.000100,0,reg,False
142,2015-10-13,0.000100,0.000100,0.000100,0.000100,0,reg,False
143,2015-10-14,0.000100,0.000100,0.000100,0.000100,0,reg,False
144,2015-10-15,0.000100,0.000100,0.000100,0.000100,0,reg,False
145,2015-10-16,0.000100,0.000100,0.000100,0.000100,0,reg,False
146,2015-10-17,0.000100,0.000100,0.000100,0.000100,0,reg,False
147,2015-10-18,0.000100,0.000100,0.000100,0.000100,0,reg,False
148,2015-10-19,0.000100,0.000100,0.000100,0.000100,0,reg,False
149,2015-10-20,0.000100,0.000100,0.000100,0.000100,0,reg,False
150,2015-10-21,0.000100,0.000100,0.000100,0.000100,0,reg,False
151,2015-10-22,0.000100,0.000100,0.000100,0.000100,0,reg,False
152,2015-10-23,0.000100,0.000100,0.000100,0.000100,0,reg,False
153,2015-10-24,0.000100,0.000100,0.000100,0.000100,0,reg,False
154,2015-10-25,0.000100,0.000100,0.000100,0.000100,0,reg,False
155,2015-10-26,0.000100,0.000100,0.000100,0.000100,0,reg,False
156,2015-10-27,0.000100,0.000100,0.000100,0.000100,0,reg,False
157,2015-10-28,0.000100,0.000100,0.000100,0.000100,0,reg,False
158,2015-10-29,0.000100,0.000100,0.000100,0.000100,0,reg,False
159,2015-10-30,0.000100,0.000200,0.000200,0.000100,0,reg,False
160,2015-10-31,0.000200,0.000100,0.000200,0.000100,0,reg,False
161,2015-11-01,0.000100,0.000100,0.000100,0.000100,0,reg,False
162,2015-11-02,0.000100,0.000100,0.000100,0.000100,0,reg,False
163,2015-11-03,0.000100,0.000200,0.000200,0.000100,0,reg,False
164,2015-11-04,0.000200,0.000100,0.000200,0.000100,0,reg,False
165,2015-11-05,0.000100,0.000100,0.000200,0.000100,0,reg,False
166,2015-11-06,0.000100,0.000100,0.000100,0.000100,0,reg,False
167,2015-11-07,0.000100,0.000100,0.000100,0.000100,0,reg,False
168,2015-11-08,0.000100,0.000100,0.000100,0.000100,0,reg,False
169,2015-11-09,0.000100,0.000100,0.000100,0.000100,0,reg,False
170,2015-11-10,0.000100,0.000100,0.000100,0.000100,0,reg,False
171,2015-11-11,0.000100,0.000100,0.000100,0.000100,0,reg,False
172,2015-11-12,0.000100,0.000100,0.000100,0.000100,0,reg,False
173,2015-11-13,0.000100,0.000100,0.000100,0.000100,0,reg,False
174,2015-11-14,0.000100,0.000100,0.000100,0.000100,0,reg,False
175,2015-11-15,0.000100,0.000100,0.000100,0.000100,0,reg,False
176,2015-11-16,0.000100,0.000100,0.000100,0.000100,0,reg,False
177,2015-11-17,0.000100,0.000100,0.000100,0.000100,0,reg,False
178,2015-11-18,0.000100,0.000100,0.000100,0.000100,0,reg,False
179,2015-11-19,0.000100,0.000100,0.000100,0.000100,0,reg,False
180,2015-11-20,0.000100,0.000100,0.000100,0.000100,0,reg,False
181,2015-11-21,0.000100,0.000100,0.000100,0.000100,0,reg,False
182,2015-11-22,0.000100,0.000100,0.000100,0.000100,0,reg,False
183,2015-11-23,0.000100,0.000100,0.000100,0.000100,0,reg,False
184,2015-11-24,0.000100,0.000100,0.000100,0.000100,0,reg,False
185,2015-11-25,0.000100,0.000100,0.000100,0.000100,0,reg,False
186,2015-11-26,0.000100,0.000100,0.000100,0.000100,0,reg,False
187,2015-11-27,0.000100,0.000100,0.000100,0.000100,0,reg,False
